year,week,firstName,lastName,position,salary,eventId
2025,1,Xander,Dickson,A,47,2025-ev-4
2025,1,Logan,Wisnauskas,A,20,2025-ev-2
2025,1,Brad,Smith,M,20,2025-ev-3
2025,1,Cross,Ferrara,M,14,2025-ev-1
2025,1,Chet,Comizio,D,7,2025-ev-1
2025,1,Trevor,Baptiste,FO,45,2025-ev-4
2025,1,Liam,Entenmann,G,42,2025-ev-1
2025,2,Rob,Pannell,A,35,2025-ev-6
2025,2,Michael,Sowers,A,49,2025-ev-6
2025,2,Tom,Schreiber,M,39,2025-ev-7
2025,2,Graham,Bundy,M,18,2025-ev-5
2025,2,Jake,Bernhardt,D,4,2025-ev-6
2025,2,Joseph,Nardella,FO,27,2025-ev-6
2025,2,Owen,McElroy,G,24,2025-ev-5
2025,3,Brett,Dobson,G,46,2025-ev-10
2025,3,TJ,Malone,A,47,2025-ev-11
2025,3,Rob,Pannell,A,21,2025-ev-11
2025,3,Connor,Kelly,M,28,2025-ev-9
2025,3,Luke,Wierman,FO,21,2025-ev-12
2025,3,Zach,Currier,M,28,2025-ev-9
2025,3,Max,Krevsky,D,2,2025-ev-11
2025,4,Rob,Pannell,A,23,2025-ev-16
2025,4,Blaze,Riorden,G,48,2025-ev-16
2025,4,Marcus,Holman,A,37,2025-ev-14
2025,4,Trevor,Baptiste,FO,35,2025-ev-13
2025,4,Adam,Poitras,M,28,2025-ev-16
2025,4,Mic,Kelly,M,10,2025-ev-14
2025,4,Scott,Smith,D,18,2025-ev-16
2025,5,Dylan,Molloy,A,46,2025-ev-17
2025,5,Marcus,Holman,A,33,2025-ev-20
2025,5,Charlie,Bertrand,M,18,2025-ev-17
2025,5,Jack,Hannah,M,22,2025-ev-19
2025,5,Chris,Fake,D,5,2025-ev-17
2025,5,Trevor,Baptiste,FO,33,2025-ev-18
2025,5,Logan,McNaney,G,41,2025-ev-17
2025,7,Blaze,Riorden,G,44,2025-ev-25
2025,7,Rob,Pannell,A,32,2025-ev-26
2025,7,TJ,Malone,A,45,2025-ev-26
2025,7,Trevor,Baptiste,FO,35,2025-ev-23
2025,7,Mic,Kelly,M,14,2025-ev-23
2025,7,Tom,Schreiber,M,22,2025-ev-24
2025,7,Michael,Rexrode,D,4,2025-ev-23
2025,8,Michael,Sowers,A,48,2025-ev-30
2025,8,TJ,Malone,A,41,2025-ev-30
2025,8,Bryan,Costabile,M,28,2025-ev-27
2025,8,Jonathan,Donville,M,2,2025-ev-29
2025,8,Bryce,Young,D,12,2025-ev-29
2025,8,Joseph,Nardella,FO,27,2025-ev-30
2025,8,Emmet,Carroll,G,40,2025-ev-30
2025,9,Blaze,Riorden,G,44,2025-ev-33
2025,9,Jeff,Teat,A,44,2025-ev-32
2025,9,Chris,Kavanagh,A,36,2025-ev-31
2025,9,TD,Ierlan,FO,29,2025-ev-31
2025,9,Tom,Schreiber,M,22,2025-ev-31
2025,9,Zach,Currier,M,19,2025-ev-33
2025,9,Jon,Robbins,D,2,2025-ev-34
2025,10,Blaze,Riorden,G,47,2025-ev-35
2025,10,TJ,Malone,A,39,2025-ev-37
2025,10,Brennan,O'Neill,A,39,2025-ev-38
2025,10,Trevor,Baptiste,FO,24,2025-ev-38
2025,10,Zach,Currier,M,18,2025-ev-36
2025,10,Brad,Smith,M,18,2025-ev-37
2025,10,Max,Krevsky,D,3,2025-ev-38
2025,11,Xander,Dickson,A,35,2025-ev-41
2025,11,Asher,Nolting,A,38,2025-ev-39
2025,11,Zach,Currier,M,16,2025-ev-41
2025,11,Matt,Traynor,M,23,2025-ev-41
2025,11,Ethan,Rall,D,20,2025-ev-42
2025,11,Joseph,Nardella,FO,20,2025-ev-42
2025,11,Brett,Dobson,G,44,2025-ev-40
2025,12,Blaze,Riorden,G,46,2025_quarterfinal_2
2025,12,Rob,Pannell,A,28,2025_quarterfinal_1
2025,12,TJ,Malone,A,44,2025_quarterfinal_1
2025,12,TD,Ierlan,FO,34,2025_quarterfinal_2
2025,12,Matt,Brandau,M,21,2025_quarterfinal_1
2025,12,Thomas,McConvey,M,22,2025_quarterfinal_1
2025,12,Jack,McDonald,D,3,2025_quarterfinal_1
2025,13,Jeff,Teat,A,46,2025_semifinal_2
2025,13,Brennan,O'Neill,A,40,2025_semifinal_1
2025,13,Thomas,McConvey,M,22,2025_semifinal_2
2025,13,Jake,Stevens,M,10,2025_semifinal_2
2025,13,Max,Krevsky,D,3,2025_semifinal_2
2025,13,Trevor,Baptiste,FO,33,2025_semifinal_2
2025,13,Liam,Entenmann,G,43,2025_semifinal_2
2025,14,Jeff,Teat,A,46,2025_championship_game
2025,14,Brennan,O'Neill,A,40,2025_championship_game
2025,14,Liam,Entenmann,G,43,2025_championship_game
2025,14,Trevor,Baptiste,FO,33,2025_championship_game
2025,14,Jared,Bernhardt,M,15,2025_championship_game
2025,14,Reid,Bowering,M,17,2025_championship_game
2025,14,Max,Krevsky,D,3,2025_championship_game
2026,1,Jackson,Eicher,A,26,2026-ev-2
2026,1,Rob,Pannell,A,28,2026-ev-4
2026,1,Matt,Traynor,M,25,2026-ev-2
2026,1,Jared,Bernhardt,M,18,2026-ev-3
2026,1,Jake,Piseno,D,26,2026-ev-3
2026,1,TD,Ierlan,FO,23,2026-ev-1
2026,1,Liam,Entenmann,G,47,2026-ev-2
2026,2,Marcus,Holman,A,28,2026-ev-5
2026,2,Coulter,Mackesy,A,26,2026-ev-5
2026,2,Jack,Hannah,M,21,2026-ev-8
2026,2,Reid,Bowering,M,20,2026-ev-6
2026,2,Jeff,Trainor,D,10,2026-ev-8
2026,2,Connor,Farrell,FO,15,2026-ev-8
2026,2,Logan,McNaney,G,38,2026-ev-7
2026,3,Brett,Dobson,G,45,2026-ev-11
2026,3,Owen,Hiltz,A,39,2026-ev-12
2026,3,Marcus,Holman,A,39,2026-ev-9
2026,3,Mikey,Weisshaar,M,12,2026-ev-9
2026,3,Luke,Wierman,FO,17,2026-ev-10
2026,3,Matt,Brandau,M,24,2026-ev-11
2026,3,Owen,Grant,D,18,2026-ev-9
2026,4,Connor,Shellenberger,A,36,2026-ev-14
2026,4,Pat,Kavanagh,A,43,2026-ev-15
2026,4,Evan,Plunkett,M,15,2026-ev-15
